year,month,contracts,value_amd,share_of_year_count_pct,share_of_year_value_pct,index_vs_even_month_count,index_vs_even_month_value,single_source_contracts,single_source_share_of_count_pct,single_source_value_amd,single_source_share_of_month_value_pct,urgent_contracts,urgent_share_of_count_pct,urgent_value_amd,urgent_share_of_month_value_pct,urgent_open_tender_value_amd,top_buyer_of_month,top_buyer_share_of_month_value_pct,year_contracts,year_value_amd
2025,07,2529,36320299623,7.46,4.97,0.9,0.6,618,24.44,5314817416,14.63,141,5.58,19461637032,53.58,14531562237,Ministry Territorial Administration and Infrastructure of the Republic of Armenia,24.04,33899,731059555017
2025,08,2078,47206452240,6.13,6.46,0.74,0.77,553,26.61,2681169727,5.68,143,6.88,24214065604,51.29,22971483423,Armenian Territorial Development Fund,23.62,33899,731059555017
2025,09,2642,33550764166,7.79,4.59,0.94,0.55,802,30.36,7593505134,22.63,106,4.01,11973135481,35.69,10927788367,State Property management Committee of the Ministry of territorial administration and infrastructure of the Republic of Armenia,17.3,33899,731059555017
2025,10,2783,44479979491,8.21,6.08,0.99,0.73,924,33.2,1863463493,4.19,99,3.56,16681496964,37.5,16272611276,City planning Committee of the Republic of Armenia,29.08,33899,731059555017
2025,11,2801,34530076672,8.26,4.72,0.99,0.57,744,26.56,8558441956,24.79,71,2.53,9252881200,26.8,7832200257,Higher Education and Science Committee,19.45,33899,731059555017
2025,12,3168,44616240423,9.35,6.1,1.12,0.73,1070,33.78,5295548742,11.87,96,3.03,8619453934,19.32,7710938104,Ministry Of health of the Republic of Armenia,13.68,33899,731059555017
2026,01,2647,60948926481,12.17,10.84,1.46,1.3,758,28.64,14064548836,23.08,39,1.47,3069239704,5.04,2997872504,"Ministry of education, science, culture and sports of the Republic of Armenia",13.23,21742,562056781510
2026,02,3270,258222788084,15.04,45.94,1.8,5.51,1083,33.12,9837031605,3.81,122,3.73,13344433263,5.17,9925161180,Armenian Territorial Development Fund,64.39,21742,562056781510
2026,03,3773,53617736545,17.35,9.54,2.08,1.14,1054,27.94,4648228777,8.67,161,4.27,21829531977,40.71,20564675320,Armenian Territorial Development Fund,40.4,21742,562056781510
2026,04,3085,44883599407,14.19,7.99,1.7,0.96,937,30.37,11880868014,26.47,109,3.53,6662813282,14.84,5731809784,Ministry of High-Tech Industry and Artificial Intelligence of the RA,22.87,21742,562056781510
2026,05,2833,36173793377,13.03,6.44,1.56,0.77,769,27.14,7742251268,21.4,76,2.68,7775367083,21.49,6140544597,Yerevan municipality,20.64,21742,562056781510
2026,06,2593,39780769839,11.93,7.08,1.43,0.85,794,30.62,3494702664,8.78,88,3.39,13997836324,35.19,13264464054,City planning Committee of the Republic of Armenia,15.36,21742,562056781510
2026,07,1995,27262401641,9.18,4.85,1.1,0.58,674,33.78,837418139,3.07,58,2.91,9272351751,34.01,8823060588,Ashtarak community municipality,12.57,21742,562056781510
2026,08,1450,39528910094,6.67,7.03,0.8,0.84,461,31.79,16029862290,40.55,53,3.66,4432474743,11.21,3618401640,Probation Service,29.3,21742,562056781510
2026,09,73,1462498863,0.34,0.26,0.04,0.03,21,28.77,24758020,1.69,3,4.11,521031600,35.63,520845600,Armenian Territorial Development Fund,39.45,21742,562056781510
2026,10,6,76503583,0.03,0.01,0,0,1,16.67,63000,0.08,0,0,0,0,0,"Ministry of education, science, culture and sports of the Republic of Armenia",74.02,21742,562056781510
2026,11,4,4462000,0.02,0,0,0,0,0,0,0,0,0,0,0,0,Ministry Of health of the Republic of Armenia,72.88,21742,562056781510
2026,12,13,94391596,0.06,0.02,0.01,0,1,7.69,32000,0.03,0,0,0,0,0,Ministry Territorial Administration and Infrastructure of the Republic of Armenia,50.2,21742,562056781510
2018-2025 pooled,01,19747,638976946239,10.27,16.14,1.23,1.94,8873,44.93,391379929685,61.25,248,1.26,21501588783,3.37,20393864555,,0,192369,3958215584070
2018-2025 pooled,02,18180,509970762754,9.45,12.88,1.13,1.55,6317,34.75,68461270308,13.42,540,2.97,222729748526,43.68,217019145446,,0,192369,3958215584070
2018-2025 pooled,03,19142,283729201394,9.95,7.17,1.19,0.86,5693,29.74,42118189794,14.84,491,2.57,97212992745,34.26,76538913761,,0,192369,3958215584070
2018-2025 pooled,04,17739,262793041586,9.22,6.64,1.11,0.8,5158,29.08,24262053209,9.23,466,2.63,55376191946,21.07,51351601147,,0,192369,3958215584070
2018-2025 pooled,05,16025,318727741995,8.33,8.05,1,0.97,4531,28.27,17244441395,5.41,633,3.95,81915938589,25.7,76213118268,,0,192369,3958215584070
2018-2025 pooled,06,14624,273337201002,7.6,6.91,0.91,0.83,4364,29.84,19148402557,7.01,669,4.57,102224471699,37.4,94661475611,,0,192369,3958215584070
2018-2025 pooled,07,13361,298369920273,6.95,7.54,0.83,0.9,3695,27.66,32711022282,10.96,607,4.54,97089185833,32.54,80029542831,,0,192369,3958215584070
2018-2025 pooled,08,11667,247306964996,6.06,6.25,0.73,0.75,3365,28.84,22157449273,8.96,641,5.49,100644668265,40.7,89294994288,,0,192369,3958215584070
2018-2025 pooled,09,13113,263325195309,6.82,6.65,0.82,0.8,4013,30.6,39016301344,14.82,533,4.06,97897773065,37.18,72633669608,,0,192369,3958215584070
2018-2025 pooled,10,14227,206681864292,7.4,5.22,0.89,0.63,5527,38.85,24996098410,12.09,1073,7.54,77158038096,37.33,69161797131,,0,192369,3958215584070
2018-2025 pooled,11,14450,230953324784,7.51,5.83,0.9,0.7,4710,32.6,32349608528,14.01,688,4.76,86271443658,37.35,74938035723,,0,192369,3958215584070
2018-2025 pooled,12,20094,424043419447,10.45,10.71,1.25,1.29,7388,36.77,150149119166,35.41,809,4.03,126336276169,29.79,96450749978,,0,192369,3958215584070
